Question,Cypher Query
"What diseases have a contraindication with Ticagrelor, and what are the side effects associated with this drug?","MATCH (d:Drug {name: 'Ticagrelor'})-[:contraindication]->(dis:Disease), (d)-[:side_effect]->(e:Effect) RETURN dis.name AS Disease, e.name AS SideEffect"
"For patients with a genetic mutation in a gene that is a known target of Ivacaftor, what diseases are associated with this gene, and how is Ivacaftor indicated for these diseases?","MATCH (g:Gene_Protein)-[:target]->(d:Drug {name: 'Ivacaftor'}), (g)-[:associated_with]->(dis:Disease), (d)-[:indication]->(dis) RETURN g.name AS Gene, dis.name AS Disease, d.name AS DrugIndication"
Identify the gene-protein targets of Vemurafenib and any known synergistic drug interactions for enhancing its effectiveness in treating diseases.,"MATCH (d:Drug {name: 'Vemurafenib'})-[:target]->(g:Gene_Protein), (d)-[:synergy_interaction]->(dd:Drug), (d)-[:indication]->(dis:Disease) RETURN g.name AS GeneProteinTarget, dd.name AS SynergisticDrug, dis.name AS IndicatedDisease"
What are the effects of mutations in genes that are enzymes for the metabolism of Rilpivirine on the drug's transporter function and any associated diseases?,"MATCH (g:Gene_Protein)-[:enzyme]->(d:Drug {name: 'Rilpivirine'}), (g)-[:transporter]->(d), (g)-[:associated_with]->(dis:Disease) RETURN g.name AS Gene, d.name AS Drug, dis.name AS Disease"
"How does Lumacaftor interact with gene-proteins expressed in the lung, and what are the potential side effects and diseases targeted by this interaction?","MATCH (d:Drug {name: 'Lumacaftor'})-[:target]->(g:Gene_Protein), (g)-[:expression_present]->(a:Anatomy {name: 'Lung'}), (d)-[:side_effect]->(e:Effect), (d)-[:indication]->(dis:Disease) RETURN g.name AS GeneProtein, a.name AS Anatomy, e.name AS SideEffect, dis.name AS TargetedDisease"
"What alternative treatments are available for conditions typically managed with Dexibuprofen, and through what mechanisms do they act?","MATCH (d:Drug {name: 'Dexibuprofen'})-[:indication]->(dis:Disease)<-[:indication]-(alt:Drug), (alt)-[:target]->(g:Gene_Protein) WHERE alt.name <> 'Dexibuprofen' RETURN alt.name AS AlternativeTreatment, dis.name AS Condition, g.name AS Mechanism"
Can you identify genetic markers that influence the efficacy of Arotinolol and any potential impact on treatment outcomes?,"MATCH (d:Drug {name: 'Arotinolol'})-[:target]->(g:Gene_Protein), (g)-[:associated_with]->(dis:Disease) RETURN g.name AS GeneticMarker, dis.name AS RelatedCondition"
"Which conditions have been newly associated with the application of Hydroquinone, and what are the implications for patient care?",MATCH (d:Drug {name: 'Hydroquinone'})-[:off_label_use]->(dis:Disease) RETURN dis.name AS NewlyAssociatedCondition
Explore the interaction between Insulin Degludec and cellular components within the pancreas. What are the findings?,"MATCH (d:Drug {name: 'Insulin Degludec'})-[:target]->(g:Gene_Protein), (g)-[:expression_present]->(a:Anatomy {name: 'Pancreas'}) RETURN g.name AS CellularComponent, a.name AS Location"
"What are the identified consequences of using Opium in conditions where it's not primarily recommended, and what genetic factors could affect this?","MATCH (d:Drug {name: 'Opium'})-[:off_label_use]->(dis:Disease), (d)-[:target]->(g:Gene_Protein) RETURN dis.name AS Condition, g.name AS GeneticFactor"
